failed_logins,packet_rate,session_time,label
6,1440,485.44,1
0,539,35.02,0
0,310,128.58,0
1,118,241.59,0
1,382,195.02,0
0,284,67.31,0
2,141,81.14,0
7,1619,3.76,1
3,502,138.38,0
0,509,87.1,0
11,1395,583.28,1
0,469,33.77,0
1,164,105.6,0
1,249,108.72,0
0,454,294.19,0
6,1867,597.23,1
0,401,224.95,0
0,468,146.18,0
9,1480,8.05,1
0,151,33.67,0
3,111,172.62,0
6,831,408.06,1
0,331,68.7,0
2,592,232.79,0
13,1838,7.64,1
0,365,53.38,0
0,292,28.69,0
14,823,575.16,1
13,906,553.72,1
6,1024,521.07,1
12,1680,497.75,1
8,1927,7.36,1
0,368,52.04,0
1,571,286.84,0
2,509,109.49,0
1,350,241.99,0
13,1438,6.67,1
0,368,108.46,0
2,519,254.14,0
2,415,109.16,0
2,256,121.0,0
12,1175,485.91,1
1,208,233.24,0
10,1748,484.39,1
0,116,236.45,0
0,413,278.24,0
13,1962,3.31,1
2,557,103.26,0
9,896,511.04,1
1,509,74.28,0
2,598,232.8,0
12,895,8.14,1
1,143,263.5,0
1,340,295.58,0
10,1388,5.12,1
3,283,248.75,0
1,348,145.96,0
3,542,48.27,0
1,215,58.85,0
0,349,143.38,0
2,540,155.42,0
0,288,63.39,0
0,586,181.52,0
1,208,115.81,0
2,157,271.15,0
1,167,128.24,0
1,280,148.56,0
3,561,194.32,0
11,1858,9.17,1
1,421,175.84,0
2,564,257.46,0
3,197,70.25,0
3,502,92.33,0
12,1540,581.22,1
7,860,4.17,1
10,1282,6.82,1
13,1021,5.96,1
8,1666,5.34,1
2,134,38.24,0
2,247,72.92,0
1,350,98.64,0
0,308,272.83,0
13,1371,567.84,1
0,594,260.7,0
5,1746,4.06,1
2,461,88.25,0
0,364,145.61,0
5,1883,3.04,1
0,337,160.72,0
0,448,157.06,0
3,494,179.18,0
1,306,39.56,0
0,530,215.75,0
3,130,172.81,0
1,236,76.38,0
7,1709,567.9,1
0,488,125.45,0
5,836,3.53,1
1,403,192.94,0
9,869,9.95,1
2,360,35.11,0
15,1276,5.03,1
0,302,244.31,0
0,341,163.93,0
3,477,61.46,0
4,1282,457.29,1
0,290,202.08,0
14,1252,2.42,1
0,275,204.49,0
13,917,4.94,1
0,324,145.27,0
1,409,180.22,0
2,584,130.39,0
0,226,160.98,0
5,1677,473.92,1
15,1315,3.29,1
0,226,243.7,0
2,555,133.77,0
3,544,267.58,0
2,261,227.86,0
5,1927,424.94,1
