failed_logins,packet_rate,session_time,label
2,159,216.52,0
13,1028,7.64,1
3,207,264.95,0
0,563,112.26,0
2,408,252.48,0
0,138,118.63,0
8,1304,436.0,1
3,221,37.86,0
1,217,284.28,0
1,361,113.09,0
0,192,34.5,0
13,1295,454.28,1
0,445,173.95,0
0,383,221.05,0
1,130,219.72,0
2,437,31.65,0
0,594,203.02,0
6,1279,546.64,1
2,537,223.85,0
2,347,73.12,0
3,492,250.3,0
0,314,262.76,0
10,1962,5.29,1
3,338,58.02,0
1,368,208.86,0
1,486,144.32,0
2,407,104.94,0
0,565,58.08,0
2,175,151.85,0
1,196,226.6,0
1,546,57.18,0
0,371,103.77,0
1,404,37.71,0
2,243,45.19,0
2,219,231.81,0
0,511,85.81,0
15,1765,7.26,1
1,569,175.16,0
2,358,276.63,0
3,585,90.74,0
14,876,7.88,1
0,475,44.8,0
9,842,418.28,1
6,982,1.55,1
3,523,33.58,0
1,422,123.2,0
10,1369,513.98,1
5,1263,2.76,1
0,263,150.22,0
0,285,163.01,0
1,328,278.39,0
2,375,168.09,0
0,560,88.73,0
3,139,170.88,0
3,515,131.97,0
0,409,256.28,0
2,572,271.49,0
1,382,288.17,0
0,524,248.32,0
9,1746,1.08,1
1,282,177.94,0
4,1483,473.04,1
0,343,72.55,0
2,420,214.62,0
2,349,297.71,0
1,196,54.34,0
13,835,2.08,1
1,392,273.55,0
5,1418,420.49,1
2,178,92.02,0
11,1753,569.2,1
0,482,116.24,0
2,432,132.73,0
4,1021,6.11,1
13,1327,476.88,1
7,1117,567.88,1
9,1190,469.53,1
3,437,64.37,0
2,503,295.23,0
1,236,68.67,0
1,520,215.32,0
2,293,64.65,0
0,560,186.67,0
1,499,146.16,0
0,314,290.44,0
9,1912,6.38,1
5,1903,452.64,1
2,369,28.84,0
2,526,259.28,0
3,518,174.18,0
15,1163,1.04,1
0,168,214.04,0
2,492,48.37,0
14,1607,484.79,1
13,1727,486.15,1
1,292,100.98,0
0,512,38.08,0
1,284,231.82,0
1,400,202.01,0
1,303,123.04,0
9,1057,593.21,1
12,1056,400.75,1
1,331,103.7,0
1,317,171.13,0
11,1580,7.07,1
0,371,222.15,0
13,1042,518.32,1
2,197,286.77,0
0,414,150.97,0
0,247,59.93,0
0,126,105.42,0
2,392,87.71,0
2,302,115.73,0
13,862,539.68,1
3,565,254.74,0
1,100,87.9,0
0,445,239.81,0
0,446,246.08,0
1,269,112.67,0
0,358,81.45,0
0,412,287.64,0
1,179,240.44,0
0,420,133.38,0
2,148,214.93,0
1,199,150.46,0
2,569,228.31,0
8,1517,467.54,1
15,915,2.39,1
8,1887,503.58,1
2,546,257.45,0
0,275,73.58,0
0,233,215.47,0
2,460,101.22,0
15,1018,8.28,1
1,291,140.39,0
1,536,97.66,0
1,440,100.69,0
2,446,232.91,0
2,162,218.6,0
13,1340,7.16,1
0,553,287.11,0
1,495,165.73,0
11,1949,424.01,1
0,413,30.37,0
0,202,253.88,0
3,299,49.66,0
2,510,95.72,0
3,448,103.22,0
1,568,203.84,0
2,144,235.5,0
0,459,88.69,0
0,514,143.66,0
