failed_logins,packet_rate,session_time,label
14,1149,563.32,1
10,1276,7.66,1
2,419,60.16,0
0,126,63.92,0
2,206,187.12,0
0,307,237.11,0
6,1036,9.36,1
6,1987,551.3,1
1,224,298.44,0
2,165,37.11,0
3,512,60.68,0
0,361,167.99,0
2,215,58.8,0
1,508,226.19,0
4,1573,2.09,1
7,1594,5.83,1
11,813,3.33,1
11,1390,540.1,1
2,126,45.55,0
2,284,200.01,0
7,1316,3.58,1
1,470,293.96,0
2,368,273.76,0
0,137,70.85,0
0,197,222.54,0
3,460,192.15,0
0,226,112.02,0
8,1180,3.13,1
2,592,217.78,0
0,316,142.72,0
14,1762,452.47,1
2,122,294.17,0
2,150,290.34,0
1,397,150.01,0
2,501,88.34,0
13,820,526.35,1
13,1775,575.74,1
2,568,45.85,0
9,1208,1.05,1
12,1859,3.34,1
0,116,100.3,0
2,383,63.49,0
0,293,109.95,0
0,223,180.82,0
0,211,285.45,0
9,1513,528.33,1
6,1632,9.51,1
0,391,65.02,0
4,1189,5.31,1
3,398,207.95,0
1,196,29.36,0
15,914,1.5,1
11,1584,7.66,1
9,1085,6.62,1
3,524,285.64,0
7,1635,6.13,1
0,493,273.83,0
0,314,201.88,0
0,470,124.5,0
11,1171,446.24,1
1,262,93.23,0
2,469,224.24,0
5,1182,534.03,1
1,402,214.0,0
2,239,79.48,0
11,1011,486.68,1
7,1973,585.27,1
3,114,173.43,0
1,541,144.99,0
0,281,43.26,0
3,458,149.93,0
0,461,134.6,0
0,140,218.5,0
2,539,140.79,0
11,1602,461.01,1
4,1044,413.81,1
3,114,238.08,0
8,1501,3.11,1
0,181,50.45,0
0,521,150.23,0
12,839,413.94,1
2,302,298.05,0
0,258,184.29,0
2,606,280.1,0
0,175,285.71,0
3,334,182.63,0
11,1093,430.37,1
7,802,521.89,1
0,488,125.77,0
2,222,43.02,0
8,1875,484.94,1
4,1767,498.34,1
1,457,41.89,0
6,1492,2.05,1
2,247,260.29,0
1,148,33.81,0
5,1499,2.27,1
10,1476,2.61,1
10,1486,400.53,1
15,1792,524.31,1
0,585,168.62,0
1,328,211.73,0
8,942,3.72,1
11,1399,594.88,1
1,341,173.3,0
8,1962,6.92,1
4,1133,1.3,1
14,1060,9.38,1
10,1242,411.92,1
1,314,54.36,0
0,91,276.44,0
2,505,174.92,0
7,1111,453.18,1
1,237,246.02,0
0,416,179.31,0
0,544,249.47,0
0,602,119.35,0
0,225,219.03,0
1,236,99.11,0
9,1504,552.89,1
0,327,250.27,0
4,1480,6.29,1
1,323,167.5,0
1,320,230.19,0
0,259,206.66,0
2,213,132.69,0
2,121,178.91,0
0,466,116.87,0
2,111,296.31,0
1,512,111.12,0
10,1527,422.31,1
11,997,6.88,1
0,532,104.62,0
1,326,270.21,0
7,1808,3.99,1
3,377,296.91,0
2,184,256.7,0
8,1845,2.94,1
3,214,77.92,0
4,1373,492.13,1
2,245,113.49,0
15,1385,563.71,1
7,1288,474.44,1
0,332,37.99,0
0,252,125.96,0
10,1949,499.53,1
3,392,67.92,0
12,1471,7.64,1
1,494,241.86,0
0,187,75.48,0
5,1782,5.99,1
10,1326,462.39,1
7,1115,3.71,1
2,264,234.49,0
0,177,178.27,0
1,550,40.36,0
0,579,291.91,0
1,218,250.46,0
5,1613,7.41,1
2,347,230.11,0
2,180,90.07,0
0,394,110.93,0
2,373,232.69,0
0,272,156.09,0
1,351,125.19,0
0,226,290.57,0
0,368,140.68,0
12,871,3.42,1
14,1162,451.62,1
3,170,108.66,0
0,336,266.98,0
4,1976,416.15,1
0,178,271.09,0
11,1451,431.4,1
0,580,69.01,0
1,538,36.52,0
0,607,41.11,0
2,194,60.25,0
0,345,75.34,0
0,512,84.34,0
5,955,588.11,1
0,203,251.42,0
2,215,266.64,0
2,594,234.0,0
2,247,269.37,0
1,151,140.91,0
0,175,124.84,0
12,1037,4.39,1
1,390,162.76,0
8,1210,5.95,1
2,446,74.39,0
2,464,107.57,0
2,384,167.62,0
3,324,89.39,0
2,150,197.49,0
0,128,204.41,0
3,431,65.07,0
1,488,127.68,0
3,288,136.26,0
1,494,133.69,0
1,148,302.14,0
9,2009,1.4,1
2,521,133.32,0
0,407,67.05,0
0,224,239.67,0
3,231,272.49,0
7,1087,569.04,1
0,533,146.4,0
1,562,91.1,0
1,252,63.9,0
1,262,180.19,0
0,399,286.77,0
11,1256,564.56,1
1,591,55.26,0
0,604,170.06,0
1,435,61.66,0
1,259,119.06,0
4,1876,516.84,1
0,487,102.79,0
2,226,96.6,0
6,1553,406.84,1
7,1379,443.39,1
2,475,33.42,0
2,371,289.8,0
0,576,109.07,0
2,395,225.24,0
0,444,116.3,0
5,1587,5.66,1
6,1414,489.65,1
2,222,65.75,0
1,301,51.14,0
0,495,133.12,0
4,1613,4.06,1
1,508,51.55,0
15,1689,5.81,1
2,443,266.2,0
2,433,194.6,0
2,113,59.52,0
0,327,284.02,0
1,185,65.32,0
2,317,255.68,0
0,277,33.78,0
3,314,205.03,0
3,463,263.86,0
2,395,244.27,0
10,1157,520.6,1
2,130,113.52,0
1,278,258.14,0
9,1372,545.66,1
0,454,191.07,0
2,156,183.89,0
11,1771,3.32,1
11,1662,7.88,1
0,503,78.77,0
7,1830,425.18,1
0,298,178.38,0
0,102,216.31,0
3,463,276.54,0
3,505,114.37,0
5,843,539.59,1
4,1869,440.45,1
4,1585,571.22,1
2,116,42.33,0
14,983,8.14,1
2,285,229.31,0
1,349,254.59,0
3,275,172.83,0
1,310,193.1,0
3,147,205.61,0
3,255,107.21,0
1,249,55.05,0
13,1811,9.61,1
2,542,224.25,0
3,230,240.66,0
15,1701,418.94,1
4,1937,528.68,1
1,198,178.48,0
2,173,239.85,0
3,241,57.65,0
0,581,277.09,0
2,269,169.14,0
11,1737,594.16,1
0,415,255.68,0
10,804,6.87,1
1,309,92.97,0
0,528,43.32,0
1,594,273.22,0
15,1436,8.58,1
14,1540,9.95,1
12,1394,2.24,1
1,232,179.99,0
10,864,479.77,1
7,952,1.06,1
0,389,133.26,0
2,306,81.67,0
0,357,299.3,0
3,501,159.28,0
2,580,204.38,0
0,245,142.55,0
2,283,290.6,0
9,1335,1.84,1
0,465,44.37,0
0,465,142.54,0
2,535,262.73,0
13,1026,9.5,1
0,250,209.21,0
8,1977,7.74,1
10,1623,3.02,1
3,151,68.63,0
0,184,61.4,0
3,120,63.14,0
14,1503,545.86,1
0,359,69.25,0
2,458,126.85,0
1,402,47.63,0
