failed_logins,packet_rate,session_time,label
5,1195,460.16,1
0,373,161.99,0
1,427,153.66,0
2,367,293.12,0
0,452,294.25,0
2,166,152.69,0
10,1469,7.96,1
2,130,39.72,0
14,1664,433.21,1
0,341,89.31,0
15,1035,541.86,1
7,993,418.21,1
9,1443,5.26,1
0,518,77.08,0
3,136,90.84,0
5,1263,533.02,1
1,597,183.32,0
0,379,240.13,0
7,1482,2.44,1
0,355,222.86,0
0,130,172.8,0
0,441,89.83,0
0,512,38.07,0
1,542,179.62,0
0,357,123.47,0
5,1961,2.83,1
1,565,217.43,0
4,874,570.17,1
14,1483,470.24,1
6,1585,586.46,1
0,228,233.54,0
12,896,6.54,1
10,1221,7.69,1
3,232,179.04,0
0,178,34.51,0
0,134,240.98,0
5,1165,4.09,1
3,513,160.19,0
3,271,76.61,0
0,238,115.74,0
0,139,247.11,0
0,563,178.62,0
0,323,60.12,0
1,154,152.19,0
2,435,239.08,0
1,294,283.78,0
2,186,101.69,0
2,123,160.46,0
1,318,95.37,0
2,126,232.57,0
0,567,58.53,0
1,539,228.79,0
7,1841,570.85,1
0,283,293.17,0
3,243,79.81,0
2,228,134.98,0
5,1894,4.81,1
0,358,84.12,0
5,1129,458.37,1
8,856,568.28,1
0,444,110.55,0
5,1549,8.41,1
2,307,242.84,0
0,555,276.71,0
0,228,51.16,0
0,405,112.14,0
0,201,183.34,0
2,399,266.53,0
8,1553,5.53,1
15,1981,4.86,1
4,1075,2.7,1
1,534,107.24,0
2,215,110.14,0
1,249,287.25,0
0,266,134.96,0
5,849,598.66,1
0,469,111.4,0
0,484,96.59,0
2,108,106.11,0
3,311,262.51,0
2,470,57.82,0
12,1804,2.11,1
0,105,259.73,0
2,283,83.79,0
2,558,75.23,0
7,1511,465.04,1
2,369,123.1,0
2,478,48.89,0
2,338,236.86,0
3,457,51.4,0
0,592,205.02,0
7,968,400.31,1
13,1297,520.05,1
9,1128,8.33,1
1,180,68.06,0
3,451,65.11,0
3,225,111.24,0
8,963,557.45,1
13,1388,3.75,1
9,1062,2.92,1
0,564,270.51,0
10,1936,517.05,1
0,181,168.52,0
6,1742,473.55,1
1,123,28.61,0
5,1639,407.0,1
3,298,161.93,0
2,445,64.17,0
3,255,56.25,0
9,1613,565.37,1
0,579,79.97,0
0,140,115.27,0
5,931,593.76,1
1,337,245.69,0
1,232,119.02,0
3,598,50.76,0
0,398,60.15,0
2,341,53.9,0
1,592,120.4,0
11,1327,456.0,1
0,402,290.09,0
10,885,6.11,1
0,235,127.31,0
1,332,213.72,0
0,139,201.02,0
10,920,7.95,1
3,194,209.7,0
2,363,84.1,0
0,242,52.11,0
0,142,183.09,0
2,561,86.44,0
1,590,75.32,0
3,476,104.73,0
3,556,101.53,0
6,1568,480.46,1
6,1768,9.36,1
9,1166,557.02,1
4,1714,418.65,1
2,240,168.96,0
0,578,250.64,0
3,419,221.28,0
2,368,204.7,0
0,353,68.98,0
5,947,1.93,1
1,323,164.11,0
5,932,441.31,1
1,173,278.74,0
3,201,238.09,0
0,477,64.5,0
1,328,165.63,0
11,1856,513.79,1
15,1184,537.9,1
2,246,280.53,0
6,1428,3.86,1
12,906,9.15,1
0,378,243.11,0
3,584,132.76,0
2,335,130.4,0
1,340,222.54,0
2,340,280.29,0
2,577,102.42,0
3,369,159.94,0
6,1633,505.95,1
2,143,117.49,0
7,1925,6.34,1
1,523,206.9,0
1,317,96.89,0
0,300,201.63,0
0,268,173.76,0
0,310,33.52,0
2,126,107.62,0
2,166,135.3,0
0,363,31.88,0
2,433,216.39,0
0,306,270.28,0
12,872,6.33,1
1,544,213.51,0
1,114,162.1,0
0,577,119.51,0
1,573,166.49,0
1,485,208.1,0
10,1793,2.37,1
1,394,85.52,0
2,380,200.61,0
2,248,158.85,0
13,1590,2.39,1
3,352,236.57,0
0,268,47.85,0
2,237,203.78,0
0,521,118.8,0
1,223,187.8,0
0,175,293.32,0
9,1021,1.19,1
0,589,219.59,0
8,1140,561.07,1
2,125,260.91,0
2,227,183.02,0
5,1965,539.89,1
2,142,187.97,0
2,344,272.39,0
6,1350,507.4,1
2,492,293.61,0
11,976,5.16,1
5,1460,574.13,1
2,166,61.5,0
2,523,231.68,0
3,286,111.9,0
1,542,249.27,0
1,232,69.74,0
0,136,124.64,0
2,382,83.96,0
2,168,261.35,0
0,238,224.86,0
0,475,30.11,0
5,1649,558.73,1
9,1749,416.52,1
0,422,160.8,0
3,262,50.48,0
9,1667,402.98,1
0,394,214.48,0
0,563,230.57,0
9,1752,558.21,1
1,344,266.84,0
0,402,156.73,0
5,1276,2.31,1
2,534,141.01,0
0,469,65.78,0
6,1605,7.35,1
1,585,204.51,0
8,1040,566.42,1
14,1225,7.87,1
2,262,75.49,0
2,218,135.21,0
7,1578,459.23,1
2,570,42.71,0
1,310,273.16,0
8,1015,580.14,1
2,305,206.2,0
0,562,288.62,0
2,415,285.66,0
2,215,228.18,0
11,1533,585.6,1
1,348,286.07,0
1,252,90.46,0
6,1041,5.26,1
7,2010,6.45,1
3,288,187.41,0
1,359,249.24,0
10,1542,1.2,1
2,540,143.62,0
2,139,69.13,0
2,201,271.32,0
0,388,130.54,0
9,1564,406.15,1
2,582,74.58,0
2,151,50.83,0
15,1432,5.05,1
0,457,113.77,0
9,1148,6.14,1
6,878,3.87,1
7,1417,528.83,1
0,174,156.24,0
0,205,169.5,0
10,1718,5.56,1
9,838,417.27,1
0,583,275.67,0
0,153,108.5,0
2,571,219.26,0
10,1971,590.71,1
0,341,56.7,0
3,339,96.4,0
3,417,132.89,0
1,366,179.77,0
1,494,122.72,0
2,490,108.79,0
6,1977,6.32,1
1,582,148.09,0
1,479,142.61,0
0,268,63.98,0
0,587,281.76,0
2,524,38.92,0
12,1615,1.58,1
10,1086,427.24,1
2,138,280.45,0
3,324,224.85,0
2,313,290.86,0
9,1161,451.22,1
0,479,150.51,0
0,336,262.69,0
2,469,115.3,0
10,1070,6.42,1
1,444,134.66,0
2,388,278.52,0
